data_pm_2.5,dates,data_pm_10,precipitation,year,Number of tourists,Receipts,perc of GNP,date,uWind,vWind,wind_dir_deg,wind_dir_labels,wind_speed
1.46134294361569e-08,2018-04-18,2.0997619892826336e-08,0.0,2018,12.49,9.52,7.5,2018-04-18,-0.8322786755032009,0.01515611675050521,91.04326300539958,E,0.8324166634398408
1.895475754132292e-08,2018-04-19,2.6821400100907056e-08,0.0,2018,12.49,9.52,7.5,2018-04-19,0.42168154319127404,0.15878772735595703,249.365713480775,W,0.4505872459657997
2.6874860892256436e-08,2018-04-20,3.998556674655873e-08,3.426742,2018,12.49,9.52,7.5,2018-04-20,1.5309695568349626,-0.30196338229709196,281.15761587084273,W,1.5604645680705926
2.4340469195749392e-08,2018-04-21,3.7806962893682794e-08,1.104478,2018,12.49,9.52,7.5,2018-04-21,1.3195238918479946,-1.5007394684685602,318.6764771469035,NW,1.9983398743399419
9.725310667896281e-09,2018-04-22,1.4287728111739284e-08,0.0,2018,12.49,9.52,7.5,2018-04-22,0.5142707361115348,-0.6212884585062664,320.38378532860025,NW,0.8065195215825792
1.6747912057191172e-08,2018-04-23,2.520628328284147e-08,15.169491,2018,12.49,9.52,7.5,2018-04-23,-0.08584566248787774,-1.3318191634284127,3.688037649815385,N,1.3345829917405434
2.514040164935949e-08,2018-04-24,3.7087025006599106e-08,13.009317,2018,12.49,9.52,7.5,2018-04-24,1.6736250221729279,-0.9286713070339627,299.02528644234485,NW,1.9140143968506356
2.7757752429913296e-08,2018-04-25,3.9360377290798e-08,0.044007834,2018,12.49,9.52,7.5,2018-04-25,0.833267023631682,-0.4017723500728607,295.7417464264488,NW,0.9250702427140717
2.9128354839258463e-08,2018-04-26,4.039235967923105e-08,0.0,2018,12.49,9.52,7.5,2018-04-26,-0.17238561643494502,-1.2743936114841037,7.7035692258078825,N,1.2859999524670103
3.767569756174538e-08,2018-04-27,5.137780800801295e-08,0.021188956,2018,12.49,9.52,7.5,2018-04-27,-0.7676985131369697,-1.0867662959628634,35.23762285489903,NE,1.3305720533340373
1.9216783719855357e-08,2018-04-28,2.5507580048156342e-08,0.0,2018,12.49,9.52,7.5,2018-04-28,0.7916443083021376,-1.4144354926215277,330.7647305362229,NW,1.6209035978905943
1.0582225207222962e-08,2018-04-29,1.7212369862740218e-08,0.0,2018,12.49,9.52,7.5,2018-04-29,-0.14138945274882841,-2.3974662356906467,3.3750826478835165,N,2.401631805382601
9.966048757081847e-09,2018-04-30,1.4876534823460297e-08,0.0,2018,12.49,9.52,7.5,2018-04-30,-0.32935300800535416,-1.9120036231146917,9.773595249674827,N,1.9401626887160477
1.6029009872447347e-08,2018-05-01,2.3920697834415444e-08,0.0,2018,12.49,9.52,7.5,2018-05-01,0.44110294845369125,-1.944666544596354,347.2200182621982,N,1.9940661425356139
5.882030640336211e-09,2018-05-02,8.421440766959165e-09,0.0,2018,12.49,9.52,7.5,2018-05-02,-0.9232657220628526,-2.184341377682156,22.912548165191197,NE,2.3714482595643154
9.11283393190132e-09,2018-05-03,1.2945097105365733e-08,0.0,2018,12.49,9.52,7.5,2018-05-03,-0.1440156102180481,-2.1611186133490667,3.8125184893079904,N,2.1659118534580926
1.2712717212259861e-08,2018-05-04,1.8453118810768387e-08,0.0,2018,12.49,9.52,7.5,2018-05-04,-0.1389281517929501,-1.7469318707784016,4.546988458761007,N,1.7524474293119126
1.2494115408934192e-08,2018-05-05,1.789712456012893e-08,0.0,2018,12.49,9.52,7.5,2018-05-05,-0.0887882477707333,-1.6686593691507974,3.045797777877681,N,1.6710198811495136
2.0059170879882515e-08,2018-05-06,2.8877527591397723e-08,0.0,2018,12.49,9.52,7.5,2018-05-06,1.1280178626378377,-1.3227751519944932,319.5435783388557,NW,1.7384356189298729
1.4667738801321661e-08,2018-05-07,2.1409108597048032e-08,0.0,2018,12.49,9.52,7.5,2018-05-07,2.3778981467088065,-0.9794831275939941,292.38731648725377,W,2.571728366947507
2.3151042416458267e-08,2018-05-08,3.2854107212543227e-08,5.8589897,2018,12.49,9.52,7.5,2018-05-08,0.7534285849995084,-1.254625850253635,329.0143188160701,NW,1.463468707154006
2.1187315873971713e-08,2018-05-09,2.9332006920568254e-08,0.0,2018,12.49,9.52,7.5,2018-05-09,-0.19033988979127672,-0.9415489170286391,11.428669055574005,N,0.9605954594955977
1.0954694928955178e-08,2018-05-10,1.5093680971745016e-08,0.0,2018,12.49,9.52,7.5,2018-05-10,-0.333680616484748,-1.4105441835191515,13.309313245324574,N,1.4494749557951496
8.24453139092185e-09,2018-05-11,1.1616266837322087e-08,0.0,2018,12.49,9.52,7.5,2018-05-11,0.21177123652564153,-1.6142298380533855,352.5260344512046,N,1.6280617392106045
6.633519178400604e-09,2018-05-12,9.332848605048127e-09,0.0,2018,12.49,9.52,7.5,2018-05-12,-0.15845215651724073,-1.877477486928304,4.8241199272287645,N,1.8841520108068732
7.2959274177719635e-09,2018-05-13,1.0362164459820633e-08,0.0,2018,12.49,9.52,7.5,2018-05-13,-1.6491311921013727,-2.872274398803711,29.862510716155555,NE,3.3120377278625486
1.2317725506250099e-08,2018-05-14,1.7928012852053143e-08,0.0,2018,12.49,9.52,7.5,2018-05-14,-1.4501490592956543,-2.7787821027967667,27.55847897321354,NE,3.134415777940076
6.6650485130992365e-09,2018-05-15,9.502050812848495e-09,0.0229014,2018,12.49,9.52,7.5,2018-05-15,-0.7687905629475911,-2.1561516125996905,19.624039444028142,N,2.289110898622764
1.4441869145009889e-08,2018-05-16,2.0920221999176647e-08,20.505608,2018,12.49,9.52,7.5,2018-05-16,1.7404852211475372,-1.1952682071261935,304.4791088476784,NW,2.1113869593231023
1.2682895463023147e-08,2018-05-17,1.9379897041316152e-08,0.012141709,2018,12.49,9.52,7.5,2018-05-17,1.8279521332846747,-0.021489020850923357,270.67352610870813,W,1.8280784391259375
2.9263890199970888e-08,2018-05-18,4.3947427030843755e-08,0.1416968,2018,12.49,9.52,7.5,2018-05-18,0.1330175859232744,-1.106088936328888,353.14257579587235,N,1.1140585322298047
3.375449201354838e-08,2018-05-19,4.623151853878904e-08,0.0,2018,12.49,9.52,7.5,2018-05-19,0.6793753769662645,-1.2752222485012479,331.9535150331027,NW,1.4449023101582448
2.279825173090444e-08,2018-05-20,3.186360442164471e-08,0.063169956,2018,12.49,9.52,7.5,2018-05-20,0.5124935044182671,-1.0174114439222548,333.2645551416652,NW,1.1391995603470375
1.168188943018525e-08,2018-05-21,1.6083959760403166e-08,0.0,2018,12.49,9.52,7.5,2018-05-21,0.31591860784424675,-1.2457521226671007,345.76996848527426,N,1.2851859468231956
2.084768546684046e-08,2018-05-22,2.8852217059949226e-08,0.0,2018,12.49,9.52,7.5,2018-05-22,0.39974062310324776,-1.8664453294542098,347.91146374760973,N,1.9087720486219424
1.806585936403593e-08,2018-05-23,2.5476686538183912e-08,0.0,2018,12.49,9.52,7.5,2018-05-23,0.7523034115632375,-1.2410498195224338,328.7764650405618,NW,1.4512632695642618
1.1088055362762361e-08,2018-05-24,1.661839155175926e-08,0.0,2018,12.49,9.52,7.5,2018-05-24,1.7126125593980153,-0.8342680931091309,295.97218721354784,NW,1.9050052571548892
